NOFOLIO,ENTIDAD,CCT,GENERO,NOMBRE_CT                                                                                               ,N_TURNO,EXTENSION,NOMBRE_MUN,NOMBRE_LOC,MARGINA,SOST,SUBSIST,NVL_ESP,NVL_MAT,
130002116B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002117B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002118B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002119B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,II,I,
130002120B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002121B17,HIDALGO,13EMS0074T,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002122B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002123B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002124B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002125B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002126B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002127B17,HIDALGO,13EMS0074T,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002128B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002129B17,HIDALGO,13EMS0074T,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,III,I,
130002130B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002131B17,HIDALGO,13EMS0074T,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002132B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002133B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002134B17,HIDALGO,13EMS0074T,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,III,I,
130002135B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,II,I,
130002136B17,HIDALGO,13EMS0074T,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002137B17,HIDALGO,13EMS0074T,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,I,I,
130002138B17,HIDALGO,13EMS0074T,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA ACANOA,MATUTINO,,XOCHIATIPAN,ACANOA,ALTO,ESTATAL,EMSAD,III,I,
130002139B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002140B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002141B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002142B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002143B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002144B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002145B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002146B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002147B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002148B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002149B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,II,I,
130002150B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002151B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002152B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002153B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002154B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002155B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002156B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002157B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002158B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002159B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002160B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,II,I,
130002161B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002163B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002164B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002165B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,III,II,
130002166B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002167B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002168B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002169B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002170B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002171B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,II,I,
130002172B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,II,I,
130002173B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002174B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002175B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002176B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002177B17,HIDALGO,13EMS0075S,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002178B17,HIDALGO,13EMS0075S,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA OXELOCO,MATUTINO,,YAHUALICA,OXELOCO,ALTO,ESTATAL,EMSAD,I,I,
130002179B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002180B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,I,I,
130002181B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002182B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,II,
130002183B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002184B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,II,
130002186B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,I,I,
130002187B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002188B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002189B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,II,
130002190B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002191B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002192B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002193B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002194B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,II,
130002195B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,IV,II,
130002196B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,I,I,
130002197B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002198B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002199B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,I,I,
130002200B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002201B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002202B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,II,
130002203B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002204B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002205B17,HIDALGO,13EMS0085Z,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002206B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,I,I,
130002207B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,III,
130002208B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002209B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002210B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002211B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002212B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002213B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,II,
130002214B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,I,I,
130002215B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,II,I,
130002216B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,III,I,
130002217B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,I,I,
130002218B17,HIDALGO,13EMS0085Z,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA COCHOTLA,MATUTINO,,ATLAPEXCO,COCHOTLA,ALTO,ESTATAL,EMSAD,IV,I,
130002220B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002221B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002222B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002223B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002224B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,III,II,
130002225B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002226B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002227B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,IV,II,
130002228B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,II,II,
130002229B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,II,
130002230B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002231B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002232B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002233B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,II,
130002234B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002235B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,III,8,
130002236B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,III,I,
130002237B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002238B17,HIDALGO,13EMS0097D,M,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002239B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,III,II,
130002240B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,III,I,
130002241B17,HIDALGO,13EMS0097D,H,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA YAHUALICA,MATUTINO,,YAHUALICA,YAHUALICA,ALTO,ESTATAL,EMSAD,I,I,
130002242B17,HIDALGO,13ETC0017K,H,CECYTEH HUEJUTLA DE REYES,MATUTINO,,HUEJUTLA DE REYES,PARQUE DE POBLAMIENTO SOLIDARIDAD,MUY BAJO,ESTATAL,CECYTE,I,II,
